frame_idx,spatial_center,spatial_R,spatial_G,spatial_B,temporal_auto,motion_corr,motion_mag_mean,entropy,obj_count,mean_area,mean_conf
0,1.0,1.0,1.0,1.0,,,,6.729450656792355,1,3811.11474609375,0.2549522817134857
5,1.0,1.0,1.0,1.0,0.737940123573365,,3.228062084303929e-08,6.707043345712251,0,0.0,0.0
10,1.0,1.0,1.0,1.0,0.7670885981519393,-0.07953253814869485,3.042356411242508e-08,6.752805394990594,1,2797.01025390625,0.28288522362709045
15,1.0,1.0,1.0,1.0,0.7878504594286581,-0.1449432636645424,3.352103306042409e-08,6.817704427172186,0,0.0,0.0
20,1.0,1.0,1.0,1.0,0.8096691033568049,-0.12263283953356696,3.4671895576821044e-08,6.86594021620998,1,3538.179443359375,0.34903621673583984
25,1.0,1.0,1.0,1.0,0.8118639587151162,-0.12649180104249716,3.592698405441297e-08,6.8884620825600305,0,0.0,0.0
30,1.0,1.0,1.0,1.0,0.8285122001356777,-0.157798120914676,3.792455771645109e-08,6.919103680811613,0,0.0,0.0
35,1.0,1.0,1.0,1.0,0.8258772773454461,-0.11225821351191015,3.402731607593523e-08,6.926222062621327,1,1741213.375,0.28434160351753235
40,1.0,1.0,1.0,1.0,0.8188329813203384,0.03887445291189277,3.6135151759708606e-08,6.913821091574165,1,2269843.75,0.324826180934906
45,1.0,1.0,1.0,1.0,0.8059095273780024,-0.04203426393652976,3.863217301613986e-08,6.905015505305438,0,0.0,0.0
50,1.0,1.0,1.0,1.0,0.8043853790402494,-0.09513967947486884,4.075304005368707e-08,6.9191412886612085,0,0.0,0.0
55,1.0,1.0,1.0,1.0,0.8025875576578831,-0.07070247879893389,4.2113406095722894e-08,6.89093347133522,0,0.0,0.0
60,1.0,1.0,1.0,1.0,0.8077142791702823,0.017343326347512785,4.615336024471617e-08,6.885876493462716,1,88331.9765625,0.27938735485076904
65,1.0,1.0,1.0,1.0,0.8251087008293256,-0.05714930039062573,4.7032319372419806e-08,6.90989346592376,1,112459.3359375,0.29695940017700195
70,1.0,1.0,1.0,1.0,0.8260048502544357,-0.031128402761358226,5.224146093496529e-08,6.8945800753232165,0,0.0,0.0
75,1.0,1.0,1.0,1.0,0.8175121328182533,0.00429304608834875,5.013347248450373e-08,6.864810720882168,0,0.0,0.0
80,1.0,1.0,1.0,1.0,0.8092154140164003,0.009992495781623398,4.674614118016507e-08,6.8520603541891845,0,0.0,0.0
85,1.0,1.0,1.0,1.0,0.8000014848424162,0.008231851778271604,4.362105698874075e-08,6.758130892988169,1,2624826.25,0.37261763215065
90,1.0,1.0,1.0,1.0,0.8003149805779219,0.08924055195771444,3.9298274856491844e-08,6.794524324957033,1,2593452.25,0.38819241523742676
95,1.0,1.0,1.0,1.0,0.8180934921098477,0.10289244385002183,3.7046927303663324e-08,6.784910523467356,1,2223865.25,0.5854141116142273
100,1.0,1.0,1.0,1.0,0.8026996177136587,0.22136012680952,4.3902115720584334e-08,6.796575646428488,0,0.0,0.0
105,1.0,1.0,1.0,1.0,0.7611294680716592,0.032865495247897204,4.2726682636384794e-08,6.7643690948398705,2,1322509.75,0.3760988712310791
110,1.0,1.0,1.0,1.0,0.7146622164438869,0.052276013881069464,4.357212901595631e-08,6.770566302586032,1,2679440.75,0.380724161863327
115,1.0,1.0,1.0,1.0,0.6516466723830079,0.0006321766893204496,3.757992317332537e-08,6.626459265778644,1,2097405.0,0.6615968942642212
120,1.0,1.0,1.0,1.0,0.6423858236456954,0.06720295800696142,3.9467096257794765e-08,6.684549774207941,3,1265011.0,0.38435423374176025
125,1.0,1.0,1.0,1.0,0.7048757710478111,0.05021026824427097,4.182609458780462e-08,6.669541774874879,1,2615500.0,0.3367212414741516
130,1.0,1.0,1.0,1.0,0.7921764666594401,-0.0026346154052053743,4.8081467696192703e-08,6.829874184914903,0,0.0,0.0
135,1.0,1.0,1.0,1.0,0.8498172803526061,-0.011060202170153442,5.3008736955462155e-08,6.8506171585739475,0,0.0,0.0
140,1.0,1.0,1.0,1.0,0.8662854502943899,0.005500547760768176,5.0826784558921645e-08,6.834080470389803,0,0.0,0.0
145,1.0,1.0,1.0,1.0,0.8648359593121748,-0.027271996020153545,4.740500259003966e-08,6.825821862504041,0,0.0,0.0
150,1.0,1.0,1.0,1.0,0.8658165520815524,-0.03911430470655594,4.859693092384987e-08,6.802709842055701,0,0.0,0.0
155,1.0,1.0,1.0,1.0,0.8563239074521685,-0.04592559175716386,4.34428883977489e-08,6.75584514537359,1,1978.47412109375,0.28883957862854004
160,1.0,1.0,1.0,1.0,0.8441323897862003,-0.08953047363868775,4.06940117159138e-08,6.726941473631409,0,0.0,0.0
165,1.0,1.0,1.0,1.0,0.8181474677174249,-0.11459129876697513,4.2844206404879515e-08,6.656670659919252,1,2241343.5,0.3432084321975708
170,1.0,1.0,1.0,1.0,0.803816934725412,-0.05027612646841002,3.733213915779743e-08,6.614570840904162,0,0.0,0.0
175,1.0,1.0,1.0,1.0,0.7593419100188675,-0.15303916269606754,3.465138220803965e-08,6.537739621982887,0,0.0,0.0
180,1.0,1.0,1.0,1.0,0.8185699010449177,-0.0921234955465686,3.858120223299011e-08,6.596178818084821,0,0.0,0.0
185,1.0,1.0,1.0,1.0,0.8610059074609817,-0.13440163425967522,4.239816675521979e-08,6.581407519176721,0,0.0,0.0
190,1.0,1.0,1.0,1.0,0.8763488998100167,-0.16257813073230654,3.1513103238012263e-08,6.561308371150843,0,0.0,0.0
