frame_idx,spatial_center,spatial_R,spatial_G,spatial_B,temporal_auto,motion_corr,motion_mag_mean,entropy,obj_count,mean_area,mean_conf
0,1.0,1.0,1.0,1.0,,,,7.174713947486527,1,943029.625,0.39847317337989807
5,1.0,1.0,1.0,1.0,0.7726529759198401,,1.923605452702759e-08,7.206704384830859,0,0.0,0.0
10,1.0,1.0,1.0,1.0,0.6802602319461103,-0.12273830499755131,3.898193057239041e-08,7.126173366829401,2,403682.84375,0.3100726008415222
15,1.0,1.0,1.0,1.0,0.5944792402448427,-0.05490398193684996,3.6413830173387396e-08,7.060976729554229,1,84334.234375,0.4839513301849365
20,1.0,1.0,1.0,1.0,0.5707263873691498,-0.059477529357112695,2.5985901430658487e-08,7.064213125319951,2,1072706.5,0.3517933189868927
25,1.0,1.0,1.0,1.0,0.5212061511065919,-0.12746748102389235,2.886935668300339e-08,6.993909624234391,0,0.0,0.0
30,1.0,1.0,1.0,1.0,0.5012410165248186,-0.1626072067725031,1.8392480427564806e-08,6.922902715261513,0,0.0,0.0
35,1.0,1.0,1.0,1.0,0.5003089266885111,-0.0889507421494182,1.15153628854614e-08,6.934130542338875,1,38565.19140625,0.3261432945728302
40,1.0,1.0,1.0,1.0,0.5572070906500332,-0.23716694955697218,1.7797367135585773e-08,6.84436077643748,1,2282588.5,0.638704776763916
45,1.0,1.0,1.0,1.0,0.5309596183657554,-0.10446098341066934,1.8647167365770656e-08,6.842819090667751,2,1088036.625,0.34715279936790466
50,1.0,1.0,1.0,1.0,0.5555232590921155,-0.12711446319724073,1.6694112758841584e-08,6.828583051855779,2,1123624.625,0.3846418857574463
55,1.0,1.0,1.0,1.0,0.47858194057184616,-0.16628561193736058,1.53871830832486e-08,6.800181455655136,1,33536.08984375,0.4078899621963501
60,1.0,1.0,1.0,1.0,0.43884294502590043,-0.11666104865828227,1.210968481046848e-08,6.864040478550208,1,9272.9052734375,0.28455251455307007
65,1.0,1.0,1.0,1.0,0.44758817200934203,-0.17893650965824093,9.009344381638584e-09,6.787984681842457,3,35000.265625,0.4683248698711395
70,1.0,1.0,1.0,1.0,0.5677741337562205,-0.09987029003635206,6.3284097961968655e-09,6.71260783540348,0,0.0,0.0
75,1.0,1.0,1.0,1.0,0.5209507510424087,-0.06282158183300851,1.6520480983217567e-08,6.710665817035495,6,38818.4609375,0.4035845696926117
80,1.0,1.0,1.0,1.0,0.5634286142766272,-0.05251710927874289,1.8924952271959228e-08,6.715665349954607,2,33963.671875,0.31451064348220825
85,1.0,1.0,1.0,1.0,0.4757849226585184,-0.12026264362679137,1.1826868373532307e-08,6.753699460877572,2,100263.40625,0.3441133499145508
90,1.0,1.0,1.0,1.0,0.44539691187130215,-0.19088837579851053,9.323806615668673e-09,6.735929355400932,0,0.0,0.0
95,1.0,1.0,1.0,1.0,0.4540332050897469,-0.1786754690069415,9.4316554566376e-09,6.788721356158201,1,2297287.0,0.40754279494285583
100,1.0,1.0,1.0,1.0,0.3727525466251037,-0.3143910607447314,6.518667827748459e-09,6.755712984267848,2,1242438.5,0.6587712168693542
105,1.0,1.0,1.0,1.0,0.4418494406565877,-0.10181041674532598,3.5410223642173833e-09,6.838060977770205,2,68913.96875,0.33892542123794556
110,1.0,1.0,1.0,1.0,0.5863514500250891,-0.2700727463202674,5.585063078683561e-09,6.764503629007208,0,0.0,0.0
115,1.0,1.0,1.0,1.0,0.5452901081405024,-0.14815763189074901,8.51615133967698e-09,6.793347755654688,0,0.0,0.0
120,1.0,1.0,1.0,1.0,0.5322170164559425,-0.25755586265953734,1.0360881930182586e-08,6.901244392776803,1,66791.515625,0.26685217022895813
125,1.0,1.0,1.0,1.0,0.6336033554425462,-0.08625872140297522,1.7906883087448477e-08,6.952646477913959,1,772248.0625,0.4124712646007538
130,1.0,1.0,1.0,1.0,0.5568828395602876,-0.12817987826918004,1.7751208503113958e-08,6.907000846947864,2,21719.56640625,0.39015257358551025
135,1.0,1.0,1.0,1.0,0.536215979729479,-0.0497161833294089,1.7468924085051185e-08,6.863250675188555,0,0.0,0.0
140,1.0,1.0,1.0,1.0,0.5090339237676154,-0.12318152395228947,1.835888241430439e-08,6.758805025806026,2,10131.5078125,0.409696102142334
145,1.0,1.0,1.0,1.0,0.4726799562874013,-0.11569689654121887,1.6757988774429577e-08,6.744922532702467,1,12762.4609375,0.4793408513069153
150,1.0,1.0,1.0,1.0,0.47497919288054036,-0.18725645047305578,1.2409381078271053e-08,6.732862058933725,0,0.0,0.0
155,1.0,1.0,1.0,1.0,0.47007067186713897,-0.18245343658568536,8.24677215405245e-09,6.744053980063905,0,0.0,0.0
160,1.0,1.0,1.0,1.0,0.4756989178046954,-0.16812964039421208,8.85554918284015e-09,6.783857102178706,2,30793.28515625,0.28767532110214233
165,1.0,1.0,1.0,1.0,0.5650273844654798,-0.048670684921292603,1.2645585911741364e-08,6.774026032905539,1,204023.0,0.30790767073631287
170,1.0,1.0,1.0,1.0,0.5455813780072213,-0.13089893295015703,1.5490210003576976e-08,6.749258196742282,3,53535.14453125,0.42002391815185547
175,1.0,1.0,1.0,1.0,0.5991864255488872,-0.13239079101996937,1.8961031855724286e-08,6.781238384727244,4,35684.75390625,0.33748453855514526
180,1.0,1.0,1.0,1.0,0.4947230251810797,-0.1604407830370518,1.2186016640214348e-08,6.8427524532485995,3,727281.9375,0.3280099630355835
185,1.0,1.0,1.0,1.0,0.5431086609420862,-0.00963758160713414,5.962417670701825e-09,6.830269166781837,0,0.0,0.0
190,1.0,1.0,1.0,1.0,0.5624280888043547,-0.006857295817703259,7.466995022298306e-09,6.832833414399048,0,0.0,0.0
195,1.0,1.0,1.0,1.0,0.5469841349073158,-0.34162634382448737,7.134479229620183e-09,6.847371689534649,1,154137.109375,0.2675226628780365
200,1.0,1.0,1.0,1.0,0.41999190286959326,-0.032181574345343134,5.623123300324551e-09,6.8366872237663765,1,1878453.0,0.27709701657295227
205,1.0,1.0,1.0,1.0,0.5072355252591922,-0.16124232325743867,8.596438227925773e-09,6.812962321655049,3,39188.17578125,0.40034735202789307
210,1.0,1.0,1.0,1.0,0.49503671086601186,-0.19302563634402461,1.3967939693770859e-08,6.777759601491372,4,621482.75,0.3002966642379761
215,1.0,1.0,1.0,1.0,0.5960790143410694,-0.12573760276194904,1.9577450771635085e-08,6.842693187813192,1,2428504.75,0.30294153094291687
220,1.0,1.0,1.0,1.0,0.5632660063924246,-0.1295679563942938,1.955794459718163e-08,6.896936848046163,2,24731.41015625,0.4158065915107727
225,1.0,1.0,1.0,1.0,0.48803670541616956,-0.17321336952571204,1.5802477548731986e-08,6.834698831726435,1,96741.15625,0.44803497195243835
230,1.0,1.0,1.0,1.0,0.4965604926932946,-0.1851358047838481,1.1867427929246332e-08,6.826376568095297,0,0.0,0.0
235,1.0,1.0,1.0,1.0,0.5130964605189257,-0.18989995398302795,1.0501803870965887e-08,6.871924184921378,2,54893.5,0.35468482971191406
240,1.0,1.0,1.0,1.0,0.5653282505075148,-0.14841701968802323,1.0313415010898552e-08,6.880309942568542,5,26366.51171875,0.46901124715805054
245,1.0,1.0,1.0,1.0,0.48860140370853283,-0.20185231280666732,1.0412232853695969e-08,6.818012797339166,0,0.0,0.0
250,1.0,1.0,1.0,1.0,0.5035041433432528,-0.1920479265087467,1.0027048524818838e-08,6.793133506501277,0,0.0,0.0
255,1.0,1.0,1.0,1.0,0.5786095997892075,-0.23321181115707373,9.927028976619567e-09,6.78533856497069,1,46598.44921875,0.3483433723449707
260,1.0,1.0,1.0,1.0,0.5346028399090028,-0.09277236686199808,1.4162302441889096e-08,6.751287191849524,1,2134246.0,0.48283711075782776
265,1.0,1.0,1.0,1.0,0.5279723462286448,-0.13638302216096015,1.6348812081901087e-08,6.768799761618371,2,1138102.0,0.3989045321941376
270,1.0,1.0,1.0,1.0,0.5150934837494453,-0.19353428307421827,1.5592732438562962e-08,6.769336813066113,0,0.0,0.0
275,1.0,1.0,1.0,1.0,0.566481722219,-0.09803636916860427,1.2584838948725974e-08,6.753742092114665,4,495268.375,0.3968566656112671
280,1.0,1.0,1.0,1.0,0.5816541827622604,-0.12290697949358048,1.1897062890398047e-08,6.751856250111026,3,80388.65625,0.343230277299881
285,1.0,1.0,1.0,1.0,0.566685978903547,-0.04683089289928598,1.4661519109893106e-08,6.845187083892589,0,0.0,0.0
290,1.0,1.0,1.0,1.0,0.5145512376764432,-0.18292947175869895,1.6705936189964632e-08,6.839665779913459,3,842515.0625,0.3953606188297272
295,1.0,1.0,1.0,1.0,0.5445530228075806,-0.13313988041821606,1.775656244262791e-08,6.843978090936666,1,74704.5,0.3060765564441681
300,1.0,1.0,1.0,1.0,0.5540276691578213,-0.13552096795647245,1.6769490684964694e-08,6.914040601304659,1,14134.275390625,0.30462151765823364
305,1.0,1.0,1.0,1.0,0.5577776027082244,0.026528384383890043,1.6838589189660524e-08,6.838437077412395,2,34943.7421875,0.36025238037109375
310,1.0,1.0,1.0,1.0,0.6254026701236978,-0.10776181904954586,1.5559066923742648e-08,6.911758968391985,1,59755.359375,0.4625908136367798
315,1.0,1.0,1.0,1.0,0.6375898124245204,-0.1474242201590362,1.5383257334633527e-08,6.883260388024318,3,408593.875,0.39266085624694824
320,1.0,1.0,1.0,1.0,0.7353859574824083,-0.1619994736092158,1.657378589925429e-08,6.8688788247251145,1,603916.75,0.2574668824672699
325,1.0,1.0,1.0,1.0,0.7155058245596508,-0.17408468977931585,1.026274265569782e-08,6.86156899494502,0,0.0,0.0
330,1.0,1.0,1.0,1.0,0.6866191124732518,-0.04472704364482108,8.91594176266608e-09,6.926862702768626,2,308896.90625,0.31466126441955566
335,1.0,1.0,1.0,1.0,0.623397246152671,-0.2149553691962775,1.2213546618511373e-08,6.877486799120968,0,0.0,0.0
340,1.0,1.0,1.0,1.0,0.5930504423844103,-0.20132325643411503,1.0682122741911826e-08,6.734830697285641,1,2533981.25,0.36488521099090576
345,1.0,1.0,1.0,1.0,0.5007366013760394,-0.3099115141642982,6.449694556209806e-09,6.7220267737623685,0,0.0,0.0
350,1.0,1.0,1.0,1.0,0.5040315240454658,-0.15340329500697447,6.9952008630025375e-09,6.802188000274514,0,0.0,0.0
355,1.0,1.0,1.0,1.0,0.42810604289426996,-0.24045146135711076,8.450094846068623e-09,6.771514668646065,0,0.0,0.0
360,1.0,1.0,1.0,1.0,0.5419377848118676,-0.22065929586920824,9.272006273874922e-09,6.756904384285403,2,1306959.125,0.4611984193325043
365,1.0,1.0,1.0,1.0,0.4697387686649574,-0.13732637898305095,1.163407059578958e-08,6.812102228215912,2,1274012.5,0.4927978515625
370,1.0,1.0,1.0,1.0,0.37409370686420496,-0.3432623501815134,5.569717131947982e-09,6.823704474450863,4,1279103.375,0.4813271164894104
375,1.0,1.0,1.0,1.0,0.4482087712225282,-0.0334819022471292,2.816570754404779e-09,6.868684238578561,4,65646.6953125,0.32426169514656067
380,1.0,1.0,1.0,1.0,0.3854202390469944,-0.2634258447225147,8.70497096627787e-09,6.971641232126384,1,146449.78125,0.31675323843955994
385,1.0,1.0,1.0,1.0,0.3979674481542937,-0.35221196721760495,8.183098643144149e-09,6.9833261290799715,0,0.0,0.0
390,1.0,1.0,1.0,1.0,0.4493002274212641,-0.10674021960491162,9.049641036540379e-09,7.0111951724305985,1,514014.5,0.37383800745010376
395,1.0,1.0,1.0,1.0,0.6288183226854377,-0.22676036683284712,1.3552128308447209e-08,6.959286017199719,1,560592.25,0.3155899941921234
400,1.0,1.0,1.0,1.0,0.7247196777318008,-0.11954258304545995,1.4651866386827805e-08,6.986454066589438,1,541289.375,0.28304529190063477
405,1.0,1.0,1.0,1.0,0.6675285362431568,-0.16321854118060136,1.0000288597211693e-08,6.920711544815566,1,7870.94384765625,0.2728746235370636
410,1.0,1.0,1.0,1.0,0.6428396852208471,-0.10719497269729673,8.123920203217949e-09,6.865839045073191,0,0.0,0.0
415,1.0,1.0,1.0,1.0,0.542227142252768,-0.11111464357001244,5.582335926845872e-09,6.8371957310335425,0,0.0,0.0
420,1.0,1.0,1.0,1.0,0.44138068853122614,-0.1387501284722431,4.940159836763769e-09,6.825349960005804,0,0.0,0.0
425,1.0,1.0,1.0,1.0,0.2846101208161841,-0.06775697192841708,4.311441870186172e-08,7.396421865802824,0,0.0,0.0
430,1.0,1.0,1.0,1.0,0.6124266315161074,-0.30733618502575677,9.924018939955204e-08,7.17900267121698,1,1160223.75,0.42910799384117126
435,1.0,1.0,1.0,1.0,0.7244600331812435,-0.0940358929275656,9.915927279280368e-08,7.135245333449295,4,347077.71875,0.365240216255188
440,1.0,1.0,1.0,1.0,0.8272848743410252,-0.08170279739590998,1.3227014505901025e-07,7.174957457147674,3,387519.65625,0.419299453496933
445,1.0,1.0,1.0,1.0,0.7439557750952609,-0.05216436943978368,1.3465069059748203e-07,7.242782806517749,1,17443.599609375,0.3047230839729309
450,1.0,1.0,1.0,1.0,0.7020448915457145,-0.000245089200899537,7.412131708406378e-08,7.316782206496406,2,46344.125,0.39344537258148193
455,1.0,1.0,1.0,1.0,0.8246538653581027,-0.07626493247321338,6.462640556037513e-08,7.315746398772704,2,104031.390625,0.3783779442310333
460,1.0,1.0,1.0,1.0,0.6495852291278628,-0.1211857903345959,3.58724463467297e-08,7.295062735939991,1,1222124.75,0.3923720717430115
