frame_idx,spatial_center,spatial_R,spatial_G,spatial_B,temporal_auto,motion_corr,motion_mag_mean,entropy,obj_count,mean_area,mean_conf
0,1.0,1.0,1.0,1.0,,,,7.761020001627027,3,130586.28125,0.5226226449012756
5,1.0,1.0,1.0,1.0,0.7803215819978433,,3.4197419154224917e-06,7.762252552245186,3,117712.875,0.5567653775215149
10,1.0,1.0,1.0,1.0,0.8188783722499599,0.8881055581630581,5.395203515945468e-06,7.767970368726831,4,164941.28125,0.4930627942085266
15,1.0,1.0,1.0,1.0,0.7958269706344927,-0.00805155266754043,5.005493221688084e-06,7.767410768538482,3,216084.421875,0.48184072971343994
20,1.0,1.0,1.0,1.0,0.7324153680170078,0.3610417730295403,1.9068229448748752e-06,7.774867710666529,2,177663.40625,0.6701762676239014
25,1.0,1.0,1.0,1.0,0.6643157900828542,0.06286860770470006,1.7443963997720857e-06,7.767814317460295,4,177785.625,0.47188645601272583
30,1.0,1.0,1.0,1.0,0.6075125837541723,-0.05194814427274183,1.6284487855955376e-06,7.768394857124118,4,182623.1875,0.5035476684570312
35,1.0,1.0,1.0,1.0,0.5492108781600475,0.0279790359789245,1.566971718602872e-06,7.76625065862194,3,136394.375,0.523453414440155
40,1.0,1.0,1.0,1.0,0.4939472164257095,0.027647827048696887,1.4947398767617415e-06,7.789548556392402,3,140882.296875,0.4410337209701538
45,1.0,1.0,1.0,1.0,0.4507751493794817,-0.05768013792291649,1.461126203139429e-06,7.790444267165627,2,188351.46875,0.7932174205780029
50,1.0,1.0,1.0,1.0,0.4300303298086821,-0.03915796030759575,1.4669045640403056e-06,7.810269242361671,5,142859.65625,0.4706038534641266
55,1.0,1.0,1.0,1.0,0.39530781865274106,-0.06188492738866935,1.520437876934011e-06,7.824382346866494,4,179461.5625,0.5326951146125793
60,1.0,1.0,1.0,1.0,0.3783595745304978,0.03450956674750038,1.6186293123610085e-06,7.843809051774875,3,142022.203125,0.6652029156684875
65,1.0,1.0,1.0,1.0,0.3712918320410874,0.033872181577276055,1.5887029576333589e-06,7.824074049663584,3,147301.984375,0.5701985955238342
70,1.0,1.0,1.0,1.0,0.3767918059212868,0.02516380984771998,1.500119651609566e-06,7.820115646653653,4,121181.984375,0.598649263381958
